Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
Motorola,Moto G_5G,kiev,completes,fails,completes,,100,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G_5G_Plus,nairo,fails,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G5G_Plus,nairo,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G10,capri,fails,,,,,,Qualcomm SM4250 Snapdragon 460,,2021,
Motorola,Defy_2021,bathena,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
Motorola,Moto_G_Power,borneo,completes,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
Motorola,Moto_G30,caprip,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
Motorola,Edge_40,dubai,fails,,,,,,Qualcomm SM7250 Snapdragon 765G,,2021,
Motorola,Edge_20,berlin,completes,,,,,,Qualcomm SM7325 Snapdragon 778G 5G,,2021,
Motorola,Edge_2021,berlna,fails,,,,,,Qualcomm SM7325 Snapdragon 778G 5G,,2021,
Motorola,Edge_30,dubai,fails,,,,,,Qualcomm SM7325-AE Snapdragon 778G 5G,,2021,
Motorola,Edge_20_Pro,pstar,completes,,,,,,Qualcomm SM8250-AC Snapdragon 870,,2021,
Motorola,Edge_S,nio,completes,,,,,,Qualcomm SM8250-AC Snapdragon 870,,2021,
Motorola,Moto_G200,xpeng,fails,,,,,,Qualcomm SM8350-AC Snapdragon 888+,,2021,
Motorola,Moto_G32,devon,fails,,,,,,Qualcomm SM6225 Snapdragon 680 4G,,2022,
Motorola,Moto_G42,hawao,fails,,,,,,Qualcomm SM6225 Snapdragon 680 4G,,2022,
Motorola,Moto_G52,rhode,fails,,,,,,Qualcomm SM6225 Snapdragon 680 4G,,2022,
Motorola,Edge_30_Neo,miami,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
Motorola,Moto_G82_5G,rhodep,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
Motorola,Edge_30_Fusion,tundra,fails,,,,,,Qualcomm SM7250 Snapdragon 765G,,2022,
Motorola,Edge_30_Ultra,eqs,fails,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Motorola,Moto_G34_5G,fogos,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2023,
Motorola,Moto_G84_5G,bangkk,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2023,
Motorola,Edge_40_Pro,rtwo,completes,,,,,,Qualcomm SM8550 Snapdragon 8 Gen2,,2023,
Motorola,Moto_G_5G_2024,fogo,completes,,,,,,Qualcomm SM4375 Snapdragon 4 Gen 1,,2024,
,,,,,,,,,,,2023,
Xiaomi,Redmi_4A,Mi8917,fails,,,,,,Qualcomm MSM8917 Snapdragon 425,,2016,
Xiaomi,Poco_3S,Mi8937,fails,,,,,,Qualcomm MSM8937 Snapdragon 430,,2016,
Xiaomi,Mi_5S_Plus,natrium,fails,,,,,,Qualcomm MSM8996 Pro Snapdragon 821,,2016,
Xiaomi,Mi_5,gemini,fails,,,,,,Qualcomm MSM8996 Snapdragon 820,,2016,
Xiaomi,Mi_6,sagit,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
Xiaomi,Mi_Mix_2,chiron,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
Xiaomi,Black_Shark,shark,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Mi_8_Explorer,ursa,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Mi_8_Pro,equuleus,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Mi_Mix_2S,polaris,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Mi_Mix_3,perseus,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Poco_F1,beryllium,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,Mi_8,dipper,fails,fails,,,120,,Qualcomm SDM845 Snapdragon 845,,2018,
Xiaomi,RedmI 8,Mi439,completes,,fails,,100,,Qualcomm SDM439 Snapdragon 439,,2019,
Xiaomi,Redmi_7A,Mi439,fails,,,,,,Qualcomm SDM439 Snapdragon 439,,2019,
Xiaomi,Mi_CC9,pyxis,fails,,,,,,Qualcomm SDM710 Snapdragon 710,,2019,
Xiaomi,Mi_CC9_Meitu,vela,fails,,,,,,Qualcomm SDM710 Snapdragon 710,,2019,
Xiaomi,Mi_9SE,grus,fails,,,,,,Qualcomm SDM712 Snapdragon 712,,2019,
Xiaomi,Mi_A3,laurel_sprout?,completes,,,,,,Qualcomm SM6125 Snapdragon 665,,2019,
Xiaomi,Redmi_Note_8,ginkgo,fails,,,,,,Qualcomm SM6125 Snapdragon 665,,2019,
Xiaomi,Redmi_Note_7_Pro,violet,fails,,,,,,Qualcomm SM6150 Snapdragon 675,,2019,
Xiaomi,Mi_9T,davinci,fails,,,,,,Qualcomm SM7150-AA Snapdragon 730,,2019,
Xiaomi,Poco_M2_Pro,miatoll,fails,,,,,,Qualcomm SM7125 Snapdragon 720G,,2020,
Xiaomi,Poco_X3_NFC,surya,fails,,,,,,Qualcomm SM7150-AC Snapdragon 732G,,2020,
